"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_sp"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ach_mil"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"	"Ant_odo"	"Ver_cha"	"Fes_ovi"	"Rum_ace"	"Des_ces"	"Phl_pra"	"Agr_sto"	"Cyn_cri"	"Cir_ole"	"Cre_bie"	"Cer_hol"	"Pla_med"	"Thy_pul"	"Urt_dio"	"Lol_mul"	"Cir_arv"	"Ran_bul"	"Tri_dub"	"Lot_cor"	"Car_car"	"Leo_his"	"Vic_sep"	"Med_lup"	"Pru_sp"
"Tri_fla"	0.0136053533791065	-0.0222985846944884	0.0429789052214718	0.18574934806678	0.00145312221430413	0.0214078770089516	0.00716403636530974	0.0491783904696884	-0.0452898438049174	-0.018289541591471	0.0598758421971958	-0.0138555238702341	0.0374325783370812	0.0350664005130753	0.0119253517795639	0.100005670625277	-0.0714757890192506	-0.160535692589767	-0.139881954627477	-0.0777623502897909	0.0272944942216112	0.065479609932467	-0.0309052881085895	0.0329569725898325	0.0287749468735405	-0.166910998753109	-0.0431058091184714	-0.0334531419135768	-0.0931541156006411	-0.0581363890272809	0.118858876860142	-0.0420874427144162	0.0311942073947277	0.0965326224866474	0.23442643265302	0.0119744902231389	-0.0807036613777909	-0.0820705042160616	0.968200232209708	0.0665764742616657	0.0604307643050328	0.0369704676924014	0.118845267427593	-0.169626884849712	0.053435634804108	0.29600464130202	-0.22313643876267	0.055105901988269	-0.221497785812237	0.117811476808936	0.0655345759283482
"Ely_rep"	-0.0203676264722876	0.0988181156977674	0.0437699175180603	0.0458388204509912	0.00322876480914752	0.0410097515586134	0.0104586328922065	0.0375737504071508	-0.0270627780906291	0.00213491619108757	0.0459159208537113	-0.379665530743476	0.0480888352738736	-0.0346875291136716	0.0233107365678684	0.0263598423562261	-0.055872262596197	0.0727960064857502	0.0806540611157511	-0.18326633972435	0.111444516705934	0.049249493182074	0.073362536782952	0.0869083773785397	-0.223353188408827	0.0647482974091958	0.126421788170078	0.137410353183486	-0.0463761226808356	0.0592366513159077	0.0563749377506233	0.044083631446257	0.509113745117634	0.378703348452572	-0.333379223840391	0.0520255521229598	0.0680653992589735	-0.15308915978611	0.0803745675832726	-0.0330034924652656	-0.0570053044080917	0.0192249323137824	-0.273307529649199	0.119383346909214	0.0182263756468913	-0.214638386923834	-0.157268822793742	-0.201384140079286	-0.0966360664936866	-0.110464620330921	0.294362947675495
"Tri_pra"	0.0346820384165153	-0.0245858933485788	-0.00978419066896146	-0.0258381419689216	0.00825897329887812	-0.047284974165434	-0.0265974144846302	-0.0397616558170014	0.00390623124399133	-0.019043334180174	-0.0578209167839709	0.00587213323760789	0.136474393063952	-0.0187422741969873	0.00263065855395473	-0.131124803283795	-0.038368267060106	-0.112137956801715	-0.028967049715239	-0.0497868567147098	0.0263242322183664	0.134635504871992	-0.0187183424227205	0.00798415393086643	-0.00784314617288527	0.0125369476594114	-0.00998500130097554	0.0362545401552169	0.224464682040857	0.0434205527955333	-0.0609944373988816	0.0527211523317369	-0.0718215371089632	-0.0717163706906014	-0.200365920365114	0.00275490603582039	-0.0224177790947588	-0.260554041403654	0.228009658670592	0.0350933518497835	0.0279403237626058	-0.0335403713388308	0.124942788452634	0.188466672422816	0.00972179611485674	0.138968259625323	0.138520312015779	-0.0324946032260987	0.141439247652233	0.110063392604761	-0.131076374777057
"Ran_rep"	-0.0368420813017599	-0.0163498028899861	-0.0242988153938525	0.00101087630657279	-0.0278555554043177	0.0067017805315904	-0.0106095243609029	-0.00892382017985408	-0.0390716046069251	-0.0353540351121512	0.0255501644605106	0.00254061719728618	0.00885475848129466	0.324525443704192	-0.00964729166012351	0.0469169671961954	-0.0107978940898403	0.0606839944597495	0.0153619323331728	0.000101250305474814	-0.0713131576431701	0.001330519063397	0.0501599937445308	0.0152447873572464	-0.109161944793807	-0.00069443017285009	-0.065635483716967	0.0108396034552127	-0.0863303514418051	-0.026991914745402	-0.070135547910428	0.0524587206533765	-0.131688519188288	-0.0524892822898594	0.0211688017359105	0.0836400837913669	0.0352842578191144	-0.672777429037259	-0.0611244945370592	0.0274118353353895	-0.0201303456813571	0.00901027626684489	0.0179470126912567	-0.029769814903454	0.0196852185649298	-0.10605399841443	0.0130899050162029	-0.0116548698797319	-0.258925392761409	-0.019322529884209	-0.0678312691481622
"Bro_ere"	0.0351831259066846	0.050304577455807	0.0494962687171436	0.0562796095427315	0.0463772972332065	0.0453161934668813	0.0500760965935634	0.044028551460947	0.0712284417681925	0.0238627388986258	0.0308272643727292	0.0468376432765664	0.0563417662598248	0.045226477749065	-0.00201490670409928	0.048606661252878	0.0628777606627965	-0.0168305975098373	0.0802578356541432	0.0503435278587427	0.0807806020479332	-0.11252477220858	0.0679396763841139	0.309802675262651	0.0710572186205924	-0.0244805935604031	0.0374679921275853	0.00317011073928066	0.111329937557824	0.157075435143397	0.0733860639888856	0.118335098813587	-0.00481389571440278	0.0632841277184945	-0.117543814255115	0.008633479038519	0.114247521361512	-0.0112100937225824	-0.127400383377637	-0.175765434629051	0.0439580029253446	0.0317344582226738	0.145900306497869	-0.0719240913573251	-0.0660505154861891	-0.251838425354124	0.0505591066794307	-0.727256116718786	0.54923938597567	0.246423811739151	0.515786081001466
"Ran_acr"	0.0116025533830516	0.0184035013059402	0.0280274077246193	0.042590336306004	0.045696864492946	0.0325975740087889	0.0208467263821829	0.0258490481343578	0.0221277988814192	0.0280883652020286	-0.00999808322108731	0.0232906610175557	0.0966749399966523	0.0388016319935073	0.0355862239546407	0.313186910997522	0.0315894546196195	-0.0387953303854514	-0.0191594821090865	-0.0239585554914502	0.0247906108945448	0.128767693350935	0.0392706573967104	-0.0231697741218937	0.0849081586025583	-0.00479765506357877	0.00306662593632208	-0.0858867949157536	-0.00705677247714057	0.0301835118526847	0.0011845912257677	0.28525844180091	0.0934718498051078	0.0397030618931713	0.325235086722939	-0.0223422930541937	0.0521310523680742	-0.130228673066741	0.0996397378222879	0.0298979977045796	0.0650043821044115	0.0295600247104999	0.124244208640909	0.159190362532199	0.0835888446774717	0.0915997234897109	0.00729370341542409	0.00158829048650996	-0.572388511765673	0.0438949441290688	0.0845132228684226
"Bro_hor"	0.00970439872361976	0.00274911064817852	-0.0270122141766126	-0.00255499702640351	0.00252520380906505	-0.0537020582275429	-0.0495222326945756	-0.0327057042560581	-0.017205707644067	-0.0198629995795044	-0.0196160689359844	0.00581961194583743	-0.0850758814733566	-0.122602807247646	-0.0338323803863483	-0.104266365267399	0.0563411690180455	0.0351338579696335	-0.017006173402774	-0.0302998978182814	-0.0946862457256346	-0.141484739281484	-0.0392656456391638	-0.01238611178715	-0.0532779501639573	-0.00505858098341961	-0.0532068906491247	-0.0192810303266494	-0.0203841099229248	0.00183253498825817	-0.0604274729750592	-0.266942921138379	0.0392167538792387	-0.0461825179134163	0.0406641631448116	0.0299965133463922	-0.0963451682530077	-0.118727806763363	-0.101193634346813	-0.0602200430191753	-0.0403937393261462	0.137639964848326	-0.000475572506474879	-0.0825044521838377	-0.0454287477728951	0.122810438124276	-0.0100589902299028	0.0274190320830222	0.0231310180119771	-0.217453890665257	-0.126453660713009
"Pla_lan"	-0.0039294882882514	-0.0108138488956128	-0.00392176794366366	0.0102085746051841	0.000187282361653576	0.0111370235406252	0.00116448680892706	0.00287336261780894	0.0143644133120356	-0.00189578299598751	-0.0287264221438518	-0.00639842233016366	-0.00579330493049683	-0.0185640700461861	-0.0021479494831972	0.039968914843147	0.0263684784699436	0.00800476286246512	0.0283132059773879	-0.0140775613262232	-0.00256408379315039	-0.0336965070616124	-0.0218069754515858	0.0298715191427022	-0.00604561381255963	0.166802699114073	0.0120679307487167	0.00734552257549307	0.0784741605904049	-0.0169430471304715	0.164080771324194	0.0327515437562162	-0.0630325238895389	-0.0458490877125697	-0.00957680711945354	0.013385669246245	-0.077320646779698	-0.0593771818693794	0.0754776742383915	-0.088486424576463	-0.00155449953872932	-0.0561779109215125	0.0520727333969997	-0.193778068105829	-0.136993263284774	-0.0505218069598208	-0.00947540835894412	0.0660701148451057	-0.126506110823387	-0.0180146828496841	-0.104798577045644
"Ach_mil"	0.0083502180480859	0.00696357468031886	-0.00969279740213981	-0.0255804632753072	-0.0226701496158435	0.0481862447035516	-0.0220243884130869	0.000274454445089053	0.0621053086913218	-0.0130844336018378	-0.0564785245862714	-0.0137342327252024	0.00095711873266832	-0.00278104345943285	0.00441839100494305	0.0507441450291665	-0.00350270709546128	0.040639019482876	0.0562955084427009	-0.0375628844736674	-0.0102191663431785	0.0307792983502262	-0.0206418542292203	0.0131447964520287	0.0261458923592483	-0.0184704578909555	-0.0119983144279777	-0.0782157058809056	0.0169022244553239	-0.063487435538442	-0.0613399919223753	-0.123015467203751	0.00718080275115605	0.00021030036803618	-0.045616917635388	-0.0125438262229596	-0.0163477794358065	0.118766765078859	-0.0236362394210336	0.012555721476756	0.00070956435314237	-0.0126029288322339	0.16727013269114	0.114047484572274	-0.0453385790939671	-0.472980806929102	-0.056988860659223	0.253972703781801	-0.117797251323052	-0.0726317443864928	-0.0741926285827809
"Ant_syl"	0.00324535642074049	-1.78181193465193e-05	0.0226065088001971	0.0231685089854995	0.022759794289668	0.0141662888490941	0.0220473747603072	0.00445396306190398	0.0249306498068919	0.0430667177711889	0.0186354645922332	0.00671701684235416	0.0510853325104722	0.0228262180295841	0.0142000432000431	0.0716992087659702	-0.0147668230488476	-0.00224718543661996	0.00987267180381961	0.08447444015031	-0.0412527798316106	-0.0251304198213864	0.0232746608719915	0.100175914163917	-0.00934651564177248	0.00544499736113191	-0.0108102593699853	0.00213970775853453	-0.0172346299239979	0.00395843230712811	0.0909209723559297	-0.0620699572487815	0.0569026760038065	0.0108717774037871	0.0147474001193541	0.130817189484294	-0.0139337653238851	0.299051460150599	0.0343690095519832	0.0708653381482664	-0.165613070133391	0.0125559234299293	-0.00622054645052414	0.0654810917289129	0.0563634314992775	0.032882746483715	0.006106111257545	-0.0312485291492355	-0.0380722093408406	0.0367638872729683	0.0260962876502354
"Her_sph"	0.0240043308240944	0.0197917143241474	0.0300941793505799	0.0119565121571414	0.0180433280710345	0.0197570722735063	0.0166292906581875	-0.00156808389763505	0.0319515176589722	0.0206495878058715	0.0436904945859288	0.00764722061595021	0.0642312480321698	-0.012049657544993	0.0233945691887552	0.0798593960267319	0.0138720135527387	-0.00686861534171366	0.037571367778701	0.126253410333144	-0.0546574939934927	0.0150255847076001	0.0140004753003713	0.0457989399241203	0.0983162404147162	0.00913056422004532	-0.00930467563652878	0.0106413113875873	0.0352890435006575	0.0182222929184877	0.0184468719466269	-0.104656730991543	0.0315501941240836	-0.00772543921131728	-0.053501974652619	0.142077985082108	-0.0497845262272791	-0.0594586780499885	0.0142328329117139	0.0648996141902022	-0.0492954832686155	0.0200060098797092	0.28333124311753	0.155693835639018	0.0766705155756692	-0.0158828969943884	0.0429438614227887	-0.00998054258131185	0.30151220080179	0.0349507567897077	0.0241849869049879
"Gal_mol"	-0.0130946925160055	-0.0247446060140256	-0.0112387183194913	-0.00347433511488616	-0.00240347457783107	-0.0143460108320892	-0.00929475731851902	-0.0116095999689211	-0.0142782953728214	-0.00878980927728851	0.0521722411507081	0.000127843191819803	0.0133988015725446	-0.0159902038233815	-0.0393055444332947	-0.0457254315580372	-0.0213120647931393	-0.0854083617973132	-0.00494768869691609	-0.0299809629002938	-0.0620554685956323	0.127773887334123	-0.00178524659100975	0.00213635617820517	-0.0263765878273717	0.0302676738597376	0.00396009933301235	0.0171623955002919	-0.0921352789051558	0.143856159324621	0.0900612255152531	-0.0399952331304265	0.0132964693661376	0.0177592150856503	0.0840177735289715	-0.00292121746681273	-0.0258152586788942	0.0977031523358598	-0.042905796256004	-0.131002812424196	0.0071625449594478	-0.0105610740906491	-0.0323449341649212	-0.134546803098887	-0.0231254374138803	0.100043144298716	-0.033336457546248	-0.0272662842787405	-0.279008187740638	-0.0115167110336136	-0.0609035489971299
"Hol_lan"	-0.0295203105543655	-0.0136947600810725	-0.00657148008708238	0.000983078432503065	-0.0109533371027281	0.00841718084208778	0.020576635141121	-0.000935640038997637	-0.0186173822333507	-0.00525076549590518	-0.019533245299167	0.00128053666708075	-0.0298460711152399	0.0430101386395398	-0.00203678679395895	0.0133249790658536	0.0108059833902336	0.140234465467788	-0.059394580290396	-0.000711043828202125	0.0308963549698958	0.0262099253032511	-0.0303617685251509	-0.0216771598999822	-0.0452341933149042	0.0265392141609657	-0.0349107226005263	0.128500310154975	0.0747149389745789	0.0170008871141311	0.0675276746973546	0.0790652437841207	0.0060324930803275	0.00570274303960424	-0.0308567566682034	-0.0265932641998165	0.0329097324680644	-0.00893511936864892	-0.0223207286332109	-0.0559951544116627	0.0545902873931069	-0.00807543953410339	0.11293803797081	-0.111995608086851	-0.0823132287646186	-0.0108374321425032	0.0153390817061902	0.11651329656341	0.0862469988335212	-0.00176025790865364	-0.0174080610945758
"Hel_pub"	0.0384472386985009	0.0608698172356433	0.0429253174909813	0.0434292249792827	0.0359549727143908	0.0447164195352003	0.0368516851873456	0.0534553464289659	0.0020300604944905	0.0350688659363287	0.0226271370671965	0.0336829399115008	0.0465696920951507	0.0458381054519826	0.192315712711352	0.0670345944049117	0.0624578016922747	-0.0551236000433256	0.0645847279079489	-0.00109371308337966	0.0207425942220298	0.101497522343573	0.0265818899843962	-0.103441335564505	0.0392485169632534	0.0197721959496381	0.0383655643399346	0.175871274659846	-0.156451018640306	-0.0251083236095352	0.0313339842144931	0.230516639441813	0.00297273391142947	0.0257995454139185	0.251294239490305	-0.0166769296416597	-0.0299095553321866	-0.0988353354627587	0.0818484199348679	-0.0129684920713656	0.0432647561858234	0.0445813652916796	0.100963227336069	-0.0095406339912681	0.142394596589327	0.227515093649263	-0.0202099810935399	0.0330989992822211	-0.478389577471238	0.00794478879387161	0.108054227214265
"Car_hir"	-0.0346145812599133	-0.0216792103968711	-0.00238136228030517	0.00011205954444126	-0.00307405745772011	-0.018761058440993	0.00250357224726806	-0.0157218130980791	-0.00997997352917132	-0.0170958629526439	0.00574935286141737	6.04887808775749e-05	-0.0098631948868085	0.0556289973958433	-0.0111717902757506	-0.026435770798815	0.0112428652029919	0.0144039164153584	0.0219999000690673	-0.0110649876683151	-0.00773063679526183	-0.00288279836231516	-0.14921442320654	-0.0222609024681644	-0.099280998303993	-0.0132016278097931	0.0766205509531303	0.0257081520130711	-0.0757052072599562	0.00649511461035797	0.0129923438367209	0.0712867243674569	-0.398035201055911	0.0238467390886849	0.00859721918803644	0.0325481754792444	0.0119419977552744	-0.248350757140388	-0.0458726763161326	-0.0309707357602921	-0.0526417279220854	-0.00909503008018097	-0.0925309098475532	-0.0281711634898768	0.00357460215372208	-0.17920411867873	0.0481567091298075	0.0411696720195217	0.0197307506892775	-0.027906508169743	-0.0626979834594349
"Bra_pin"	0.0296004496323943	0.020472984565233	0.0283792914101638	0.0273619381494965	0.0299222756458247	0.0263248182840274	0.0291174067534829	0.0238839930204392	0.0382750459957012	0.0182900362517818	0.0424013464641904	0.0372374153302151	0.0437760862026734	0.0360664138400975	0.0123693919091852	0.0128670480152384	0.0269223791946134	0.13821870217779	0.0135749330072136	0.029638529995152	0.0181343224814917	0.0641932033648804	0.025757906976966	-0.0228334932759245	0.038202347791561	0.186366363645491	0.0325735832590029	0.0428512788089396	0.0408047349759177	-0.291308796036698	0.026014048414554	0.00644635381725972	0.0352687666913787	0.0404414073893438	0.219546750230891	0.0393902175582363	0.0951154670524197	-0.0643056012323116	-0.240504831762313	0.435466464048276	0.036210459697572	0.0294108699035744	0.042940798096858	0.0847302833149026	0.115876332173363	0.15055988835885	0.0358561249894563	0.397209989706346	0.0452916571452846	0.163224971776477	-0.153431801230437
"Pha_aru"	-0.0250295008888422	0.00633806496806821	0.00255740439417057	0.00414621212521919	0.00277851887877071	0.000520272224699663	0.00389327106839902	-0.0136847647092736	0.00647614497378844	0.015068198648786	-0.00209295490660465	0.0124502381149861	0.00260616181407069	0.00597686863725237	-0.00137963686039597	0.013143485372718	0.0332457343303131	0.00153208730604125	0.0491620510215082	-0.0772620394806375	0.0264482526344777	-0.0118199206342322	0.0620980043205285	0.0233360021140352	-0.0458695650612129	0.0032848183191156	0.259925532486026	-0.000355551530943668	-0.0113311234360624	-0.00799294811275082	0.00478771991209432	0.00490017395965925	0.0631238952858985	-0.0493808351983417	0.00624269170993886	0.0481047699517579	0.00687659190954847	0.0499892161806957	0.0254972861615996	0.0197165460395142	0.166949752241409	-0.00198574059002745	-0.715473421999178	0.0339961623197207	0.0346274629098657	-0.0250358214308215	-0.0480892586239427	-0.0198979373805	0.0286212528652611	-0.0113439276452424	-0.0151813458617015
